PS.UID	CAM	TIMECODE	ACTION.TYPE	GENDER	AGE.GROUP	DB.OPERATOR	COMMENT	QUESTION
1559	K2	2019-09-08 10:59:30	ballot cast	m	old	Alexei Kouprianov	The kid girl throws the ballot for a man with grey hair who came with the girl and wit the young woman (see previous line). The woman holds the girl above the box	
1559	K2	2019-09-08 10:59:46	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:03:18	ballot cast	f	old	Alexei Kouprianov	2:27:11 of the recording = 11:00:01 Here I quit for a while	
1559	K2	2019-09-08 11:03:37	ballot cast	m	medium	Alexei Kouprianov	The medium-aged man gives his ballots to two boys who throw for him (see next line). Clearly a couple with kids.	
1559	K2	2019-09-08 11:03:57	ballot cast	f	medium	Alexei Kouprianov	The medium-aged woman gives his ballots to two boys who throw for him (see previous line). Clearly a couple with kids.	
1559	K2	2019-09-08 11:04:21	ballot cast	m	old	Alexei Kouprianov	The accompanying boy throws for him.	
1559	K2	2019-09-08 11:11:05	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:11:21	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:11:21	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:12:07	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:13:07	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:13:24	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:16:06	ballot cast	f	old	Alexei Kouprianov	A younger woman helps the very old lady to throw the ballots than leads her to sit on the chairs by the wall, while going to the booth herself	
1559	K2	2019-09-08 11:18:19	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:18:39	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:19:42	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:20:11	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:20:43	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:22:47	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:23:07	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:24:36	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:26:05	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:26:27	ballot cast	f	old	Alexei Kouprianov	There is a microlacune at 112620-112627 one woman apparently throws her ballots right amidst it.	
1559	K2	2019-09-08 11:28:30	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:29:19	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:29:40	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:31:08	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:34:56	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:35:08	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 11:37:25	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 11:37:37	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:40:53	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:41:00	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:42:58	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:43:26	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:43:38	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:43:53	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:45:34	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:46:39	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 11:47:56	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 11:48:23	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:48:34	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:48:44	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:48:58	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:51:07	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 11:51:36	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 11:51:50	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:53:11	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:54:50	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:56:56	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:57:14	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 11:58:54	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 11:59:26	ballot cast	f	medium	Alexei Kouprianov	120000 = 32711	
1559	K2	2019-09-08 12:01:31	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 12:01:47	ballot cast	f	young	Alexei Kouprianov	The man standing by gives a way to the women (the old lady and two other approaching).	
1559	K2	2019-09-08 12:02:06	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:02:09	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:06:22	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 12:07:20	strange behaviour			Alexei Kouprianov	A young man gets into the same booth with another young man (rightmost)	
1559	K2	2019-09-08 12:08:33	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 12:08:40	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 12:08:45	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 12:08:49	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 12:10:52	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:12:26	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 12:12:26	ballot cast	f	medium	Alexei Kouprianov	The young woman throws the ballots for the medium aged woman in pink jacket.	
1559	K2	2019-09-08 12:13:20	ballot cast	f	medium	Alexei Kouprianov	Gender assumption doubtful	
1559	K2	2019-09-08 12:13:50	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 12:15:11	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:15:30	ballot cast	f	young	Alexei Kouprianov	The girl throws the ballot for the young woman with three kids (the girl is the medium kid, with an older boy and a toddler); The second ballot was thrown by the boy at about 121712	
1559	K2	2019-09-08 12:15:32	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 12:16:58	ballot cast	f	medium	Alexei Kouprianov	The younger woman throws the ballot for the medium aged woman.	
1559	K2	2019-09-08 12:19:38	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:20:06	ballot cast	f	young	Alexei Kouprianov	with two kids	
1559	K2	2019-09-08 12:22:15	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:24:49	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:27:19	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 12:32:31	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 12:33:55	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:36:15	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:37:45	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 12:38:14	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 12:40:03	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 12:40:47	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:42:20	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 12:44:00	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 12:47:32	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 12:52:56	ballot cast	f	old	Alexei Kouprianov	The boy throws the ballot for her	
1559	K2	2019-09-08 12:53:49	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 12:54:33	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 12:55:05	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:55:42	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:56:36	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 12:57:31	ballot cast	f	old	Alexei Kouprianov	Gender assumption doubtful	
1559	K2	2019-09-08 13:02:43	ballot cast	f	old	Alexei Kouprianov	42710 = 130000; Appears from the booth with a aged man	
1559	K2	2019-09-08 13:02:48	ballot cast	m	old	Alexei Kouprianov	Appeared from the booth with the previous old lady	
1559	K2	2019-09-08 13:05:13	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 13:09:13	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 13:12:20	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:12:46	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:13:21	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:13:59	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:17:18	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:19:13	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:19:28	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:21:58	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:25:04	ballot cast	f	old	Alexei Kouprianov	The companion throws ballots for herself and for a disabled lady she accompanies	
1559	K2	2019-09-08 13:25:17	ballot cast	f	medium	Alexei Kouprianov	The companion throws ballots for herself and for a disabled lady she accompanies	
1559	K2	2019-09-08 13:27:41	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:28:47	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:29:22	ballot cast	f	young	Alexei Kouprianov		
1559	K2	2019-09-08 13:34:14	ballot cast	f	medium	Alexei Kouprianov	The girl accompanying the woman throws ballots for the latter	
1559	K2	2019-09-08 13:35:21	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:39:27	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:40:19	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 13:41:31	ballot cast	f	medium	Alexei Kouprianov	The girl accompanying the woman throws ballots for the latter	
1559	K2	2019-09-08 13:41:47	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:42:22	ballot cast	m	medium	Alexei Kouprianov	The couple was in the cabin together, the man throws ballots for both	
1559	K2	2019-09-08 13:42:22	ballot cast	f	young	Alexei Kouprianov	The couple was in the cabin together, the man throws ballots for both	
1559	K2	2019-09-08 13:42:59	ballot cast	f	medium	Alexei Kouprianov	51000	
1559	K2	2019-09-08 13:47:39	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 13:49:18	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 13:51:23	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:52:31	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 13:53:23	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 13:54:22	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:54:31	ballot cast	f	young	Alexei Kouprianov	The little girl that came with this woman does not throw the ballot for her.	
1559	K2	2019-09-08 13:54:53	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 13:55:06	ballot cast	f	old	Alexei Kouprianov	The woman does not go to the booth, she throws the governeur~s ballot right away. Then studies the municipal ballot. At about 13:56:27 she leaves the room with the municipal ballot and the head of the commission. She re-appears at 14:04:57 to throw the municipal ballot.	
1559	K2	2019-09-08 13:55:49	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 13:55:56	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 13:57:27	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 13:59:58	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 14:04:02	ballot cast	m	young	Alexei Kouprianov	052711 = 140001	
1559	K2	2019-09-08 14:05:10	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:05:17	ballot cast	f	medium	Alexei Kouprianov	The man from the previous record helps to put the ballots into the box.	
1559	K2	2019-09-08 14:06:15	ballot cast	m	medium	Alexei Kouprianov	The little girl that came with this man does not throw the ballot for him.	
1559	K2	2019-09-08 14:06:46	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:09:01	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:10:14	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:10:46	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:16:20	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:16:27	ballot cast	f	medium	Alexei Kouprianov	It seems that this woman throws the ballots for both herself and the older woman (next line).	
1559	K2	2019-09-08 14:16:27	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:18:35	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:19:33	ballot cast	m	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:20:05	ballot cast	f	old	Alexei Kouprianov		
1559	K2	2019-09-08 14:21:50	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:23:43	ballot cast	m	medium	Alexei Kouprianov	Apears in the hall around 14:15 gnder assumption dubious.	
1559	K2	2019-09-08 14:24:14	ballot cast	f	young	Alexei Kouprianov	The boy throws the ballots for the woman	
1559	K2	2019-09-08 14:29:35	ballot cast	m	young	Alexei Kouprianov		
1559	K2	2019-09-08 14:34:08	ballot cast	f	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:34:21	ballot cast	m	medium	Alexei Kouprianov		
1559	K2	2019-09-08 14:35:42	ballot cast	f	medium	Alexei Kouprianov		
